ASKA_name,Ecocyc_name,Keio_name,Synonyms,Accession-2,Left-End-Position,Right-End-Position,Direction,Product,RegulonDB,UniProt,Gene products (polypeptides and RNAs only),"Genes of polypeptide, complex, or RNA",growth (LB),normalized to median growth (LB),growth (M9+amino acids),normalized to median growth (M9+amino acids),COG_0204,COG_1025,EntrezID,COG_1025,COG_1025,
degS,degS,degS,hhoB // htrH,ECK3224,3382200,3383267,+,serine endoprotease,b3235,P0AEE3,serine endoprotease,degS,nan,nan,nan,0,"Posttranslational modification, protein turnover, chaperones",nan,nan,nan,nan,
dinJ,dinJ,dinJ,sosA,ECK0227,246242,246502,-,antitoxin/DNA-binding transcriptional repressor DinJ,b0226,Q47150,antitoxin/DNA-binding transcriptional repressor DinJ,dinJ,0.446670744,0.987261696,0.296824017,0.980787053,Defense mechanisms,nan,nan,nan,nan,
dksA,dksA,dksA,msmA,ECK0144,160149,160604,-,RNA polymerase-binding transcription factor DksA,b0145,P0ABS1,RNA polymerase-binding transcription factor DksA,dksA,0.50041076,1.10604149,0.144397232,0.477127616,Transcription,nan,nan,nan,nan,
dnaK,dnaK,dnaK,groPF // groPC // seg // grpF // grpC // groPAB,ECK0014,12163,14079,+,chaperone protein DnaK,b0014,P0A6Y8,chaperone protein DnaK,dnaK,nan,nan,nan,0,"Posttranslational modification, protein turnover, chaperones",nan,nan,nan,nan,
dnaQ,dnaQ,dnaQ,mutD,ECK0215,236067,236798,+,DNA polymerase III subunit &epsilon;,b0215,P03007,DNA polymerase III subunit &epsilon;,dnaQ,0.309714365,0.684551504,nan,0,"Replication, recombination and repair",nan,nan,nan,nan,
elbB,elbB,elbB,yzzB // elb2 // s27a // yhbL,ECK3198,3349806,3350459,-,low activity glyoxalase ElbB,b3209,P0ABU5,low activity glyoxalase ElbB,elbB,nan,nan,nan,0,Defense mechanisms,nan,nan,nan,nan,
eutB,eutB,eutB,noSyn,ECK2436,2557318,2558679,-,ethanolamine ammonia-lyase subunit &alpha;,b2441,P0AEJ6,ethanolamine ammonia-lyase subunit &alpha;,eutB,0.44517371,0.98395285,0.301066914,0.994806737,Amino acid transport and metabolism,nan,nan,nan,nan,
eutJ,eutJ,eutJ,yffW,ECK2449,2569501,2570337,-,putative ethanolamine utilization chaperonin EutJ,b2454,P77277,putative ethanolamine utilization chaperonin EutJ,eutJ,0.436867045,0.965592902,0.308975992,1.020940475,Amino acid transport and metabolism,nan,nan,nan,nan,
fabH,fabH,fabH,noSyn,ECK1077,1148759,1149712,+,3-oxoacyl-[acyl carrier protein] synthase 3,b1091,P0A6R0,3-oxoacyl-[acyl carrier protein] synthase 3,fabH,0.286532532,0.633313459,nan,0,Lipid transport and metabolism,nan,nan,nan,nan,
feoA,feoA,feoA,noSyn,ECK3395,3540163,3540390,+,ferrous iron transport protein A,b3408,P0AEL3,ferrous iron transport protein A,feoA,0.467060506,1.032328518,0.305620788,1.00985397,Inorganic ion transport and metabolism,nan,nan,nan,nan,
fepB,fepB,fepB,noSyn,ECK0585,623554,624510,-,ferric enterobactin ABC transporter periplasmic binding protein,b0592,P0AEL6,ferric enterobactin ABC transporter periplasmic binding protein,fepB,nan,nan,nan,0,Inorganic ion transport and metabolism,nan,nan,nan,nan,
fepD,fepD,fepD,noSyn,ECK0583,621185,622189,-,ferric enterobactin ABC transporter membrane subunit FebD,b0590,P23876,ferric enterobactin ABC transporter membrane subunit FebD,fepD,nan,nan,nan,0,Inorganic ion transport and metabolism,nan,nan,nan,nan,
fhuA,fhuA,fhuA,T1 // T5rec // tonA,ECK0149,167484,169727,+,ferrichrome outer membrane transporter/phage receptor,b0150,P06971,ferrichrome outer membrane transporter/phage receptor,fhuA,0.469703308,1.038169817,0.290153378,0.958745453,Inorganic ion transport and metabolism,nan,nan,nan,nan,
folA,folA,folA,tmr // tmrA,ECK0049,49823,50302,+,dihydrofolate reductase,b0048,P0ABQ4,dihydrofolate reductase,folA,nan,nan,nan,0,Coenzyme transport and metabolism,nan,nan,nan,nan,
folB,folB,folB,ygiG,ECK3048,3204221,3204589,-,dihydroneopterin aldolase,b3058,P0AC16,dihydroneopterin aldolase,folB,nan,nan,nan,0,Coenzyme transport and metabolism,nan,nan,nan,nan,
folC,folC,folC,dedC,ECK2309,2431674,2432942,-,bifunctional folylpolyglutamate synthetase / dihydrofolate synthetase,b2315,P08192,bifunctional folylpolyglutamate synthetase / dihydrofolate synthetase,folC,nan,nan,nan,0,Coenzyme transport and metabolism,nan,nan,nan,nan,
folE,folE,folE,noSyn,ECK2146,2242984,2243652,-,GTP cyclohydrolase 1,b2153,P0A6T5,GTP cyclohydrolase 1,folE,nan,nan,nan,0,Coenzyme transport and metabolism,nan,nan,nan,nan,
folK,folK,folK,noSyn,ECK0141,157253,157732,-,2-amino-4-hydroxy-6-hydroxymethyldihydropteridine diphosphokinase,b0142,P26281,2-amino-4-hydroxy-6-hydroxymethyldihydropteridine diphosphokinase,folK,nan,nan,nan,0,Coenzyme transport and metabolism,nan,nan,nan,nan,
ftsB,ftsB,ftsB,ygbQ,ECK2743,2872509,2872820,-,cell division protein FtsB,b2748,P0A6S5,cell division protein FtsB,ftsB,nan,nan,nan,0,"Cell cycle control, cell division, chromosome partitioning",nan,nan,nan,nan,
gabP,gabP,gabP,noSyn,ECK2657,2794253,2795653,+,4-aminobutanoate:H<sup>+</sup> symporter,b2663,P25527,4-aminobutanoate:H<sup>+</sup> symporter,gabP,0.42027528,0.928920668,0.311471589,1.029186604,Amino acid transport and metabolism,nan,nan,nan,nan,
galU,galU,galU,ychD,ECK1231,1291457,1292365,+,UTP&mdash;glucose-1-phosphate uridylyltransferase,b1236,P0AEP3,UTP&mdash;glucose-1-phosphate uridylyltransferase,galU,0.480798019,1.062692093,0.217298382,0.718012789,Cell wall/membrane/envelope biogenesis,nan,nan,nan,nan,
glgS,glgS,glgS,scoR,ECK3038,3191739,3191939,-,surface composition regulator,b3049,P26649,surface composition regulator,glgS,0.49270168,1.089002363,0.29466441,0.973651126,nan,nan,nan,nan,nan,
glmM,glmM,glmM,yhbF // mrsA,ECK3165,3322733,3324070,-,phosphoglucosamine mutase,b3176,P31120,phosphoglucosamine mutase,glmM,0.137411824,0.303716847,0.065881698,0.217690998,Carbohydrate transport and metabolism,nan,nan,nan,nan,
glyA,glyA,glyA,noSyn,ECK2548,2684254,2685507,-,serine hydroxymethyltransferase,b2551,P0A825,serine hydroxymethyltransferase,glyA,0.325821247,0.720152015,nan,0,Amino acid transport and metabolism,nan,nan,nan,nan,
gmhB,gmhB,gmhB,yaeD,ECK0200,222833,223408,+,"D-<i>glycero</i>-&beta;-D-<i>manno</i>-heptose-1,7-bisphosphate 7-phosphatase",b0200,P63228,"D-<i>glycero</i>-&beta;-D-<i>manno</i>-heptose-1,7-bisphosphate 7-phosphatase",gmhB,0.189495141,0.418834896,nan,0,Amino acid transport and metabolism,nan,nan,nan,nan,
gnsA,gnsA,gnsA,yccL // sfa,ECK0982,1052067,1052240,+,putative phosphatidylethanolamine synthesis regulator GnsA,b4517,P0AC92,putative phosphatidylethanolamine synthesis regulator GnsA,gnsA,nan,nan,nan,0,nan,nan,nan,nan,nan,
greB,greB,greB,noSyn,ECK3393,3536812,3537288,+,transcription elongation factor GreB,b3406,P30128,transcription elongation factor GreB,greB,0.488578621,1.079889303,0.295319084,0.975814346,Transcription,nan,nan,nan,nan,
groL,groL,groL,groEL // mopA,ECK4137,4371025,4372671,+,chaperonin GroEL,b4143,P0A6F5,chaperonin GroEL,groL,nan,nan,nan,0,"Posttranslational modification, protein turnover, chaperones",nan,nan,nan,nan,
gspG,gspG,gspG,hofG // hopG,ECK3315,3461023,3461460,+,Type II secretion system protein GspG,b3328,P41442,Type II secretion system protein GspG,gspG,0.402888516,0.890491273,0.333537143,1.10209718,Cell motility,nan,nan,nan,nan,
guaA,guaA,guaA,noSyn,ECK2503,2630958,2632535,-,GMP synthetase,b2507,P04079,GMP synthetase,guaA,0.078982442,0.174572301,nan,0,Nucleotide transport and metabolism,Nucleotide transport and metabolism,nan,nan,nan,
guaB,guaB,guaB,guaR,ECK2504,2632604,2634070,-,inosine 5'-monophosphate dehydrogenase,b2508,P0ADG7,inosine 5'-monophosphate dehydrogenase,guaB,0.287324102,0.63506304,nan,0,Nucleotide transport and metabolism,Nucleotide transport and metabolism,nan,nan,nan,
hda,hda,hda,idaB // yfgE,ECK2492,2618075,2618776,-,inibitor of reinitiation of DNA replication,b2496,P69931,inibitor of reinitiation of DNA replication,hda,0.330664808,0.730857581,nan,0,"Replication, recombination and repair",nan,nan,nan,nan,
hfq,hfq,hfq,noSyn,ECK4168,4400288,4400596,+,RNA-binding protein Hfq,b4172,P0A6X3,RNA-binding protein Hfq,hfq,0.297336082,0.657192191,nan,0,Signal transduction mechanisms,nan,nan,nan,nan,
hipA,hipA,hipA,noSyn,ECK1500,1590854,1592176,-,phosphorylated serine/threonine-protein kinase HipA // serine/threonine-protein kinase toxin HipA,b1507,P23874,phosphorylated serine/threonine-protein kinase HipA // serine/threonine-protein kinase toxin HipA,hipA,0.51594276,1.140371361,0.303739692,1.003638318,Signal transduction mechanisms,nan,nan,nan,nan,
hofB,hofB,hofB,hopB,ECK0106,115714,117099,-,T2SSE family protein,b0107,P36645,T2SSE family protein,hofB,0.466643436,1.031406682,0.31155614,1.029465985,Cell motility,nan,nan,nan,nan,
holD,holD,holD,noSyn,ECK4363,4607803,4608216,+,DNA polymerase III subunit &psi;,b4372,P28632,DNA polymerase III subunit &psi;,holD,0.246995443,0.545925928,0.128048259,0.423106177,"Replication, recombination and repair",nan,nan,nan,nan,
hybA,hybA,hybA,hydL,ECK2990,3144154,3145140,-,hydrogenase 2 iron-sulfur protein,b2996,P0AAJ8,hydrogenase 2 iron-sulfur protein,hybA,0.472601033,1.044574562,0.317911523,1.050465892,Energy production and conversion,nan,nan,nan,nan,
hycH,hycH,hycH,hevH,ECK2713,2843036,2843446,-,formate hydrogenlyase assembly protein,b2718,P0AEV7,formate hydrogenlyase assembly protein,hycH,0.453942299,1.003333775,0.314131242,1.037974818,nan,nan,nan,nan,nan,
hyfJ,hyfJ,hyfJ,noSyn,ECK2486,2611457,2611870,+,putative hydrogenase 4 assembly protein,b2490,P77453,putative hydrogenase 4 assembly protein,hyfJ,0.438556406,0.969326841,0.315037632,1.040969777,nan,nan,nan,nan,nan,
ihfA,ihfA,ihfA,hid // himA,ECK1710,1795253,1795552,-,integration host factor subunit &alpha;,b1712,P0A6X7,integration host factor subunit &alpha;,ihfA,0.281451778,0.622083635,0.199881561,0.660462887,"Replication, recombination and repair",nan,nan,nan,nan,
ihfB,ihfB,ihfB,hip // himD,ECK0903,963828,964112,+,integration host factor subunit &beta;,b0912,P0A6Y1,integration host factor subunit &beta;,ihfB,0.248602182,0.54947725,0.20864772,0.689428655,"Replication, recombination and repair",nan,nan,nan,nan,
ileS,ileS,ileS,ilvS,ECK0027,22391,25207,+,isoleucine&mdash;tRNA ligase,b0026,P00956,isoleucine&mdash;tRNA ligase,ileS,nan,nan,nan,0,"Translation, ribosomal structure and biogenesis",nan,nan,nan,nan,
iscS,iscS,iscS,nuvC // yzzO // yfhO,ECK2527,2660317,2661531,-,cysteine desulfurase IscS,b2530,P0A6B7,cysteine desulfurase IscS,iscS,0.394419005,0.87177139,nan,0,Amino acid transport and metabolism,nan,nan,nan,nan,
ispA,ispA,ispA,noSyn,ECK0415,440202,441101,-,geranyl diphosphate/farnesyl diphosphate synthase,b0421,P22939,geranyl diphosphate/farnesyl diphosphate synthase,ispA,nan,nan,nan,0,Coenzyme transport and metabolism,nan,nan,nan,nan,
ispU,ispU,ispU,uppS // rth // yaeS,ECK0173,194903,195664,+,"<i>ditrans,polycis</i>-undecaprenyl-diphosphate synthase [(2<i>E</i>,6<i>E</i>)-farnesyl-diphosphate specific]",b0174,P60472,"<i>ditrans,polycis</i>-undecaprenyl-diphosphate synthase [(2<i>E</i>,6<i>E</i>)-farnesyl-diphosphate specific]",ispU,nan,nan,nan,0,Lipid transport and metabolism,nan,nan,nan,nan,
kdpF,kdpF,kdpF,noSyn,ECK0687,728732,728821,-,K<sup>+</sup> transporting P-type ATPase subunit KdpF,b4513,P36937,K<sup>+</sup> transporting P-type ATPase subunit KdpF,kdpF,0.432226148,0.955335279,0.286018392,0.945082338,nan,nan,nan,nan,nan,
kil,kilR,kil,ydaD // kil,ECK1350,1418008,1418229,-,Rac prophage; inhibitor of FtsZ,b1352,P38393,Rac prophage; inhibitor of FtsZ,kilR,0.299870256,0.662793391,0.201111469,0.664526838,nan,nan,nan,nan,nan,
lipA,lipA,lipA,lip,ECK0621,659251,660216,-,lipoyl synthase,b0628,P60716,lipoyl synthase,lipA,0.365318474,0.807451443,nan,0,Coenzyme transport and metabolism,nan,nan,nan,nan,
lpcA,gmhA,lpcA,yafI // lpcA // tfrA,ECK0223,243543,244121,+,D-sedoheptulose 7-phosphate isomerase,b0222,P63224,D-sedoheptulose 7-phosphate isomerase,gmhA,nan,nan,nan,0,Carbohydrate transport and metabolism,nan,nan,nan,nan,
lpd,lpd,lpd,dhl // lpdA,ECK0115,127912,129336,+,lipoamide dehydrogenase,b0116,P0A9P0,lipoamide dehydrogenase,lpd,nan,nan,nan,0,Energy production and conversion,nan,nan,nan,nan,
malQ,malQ,malQ,malA,ECK3403,3547986,3550070,-,4-&alpha;-glucanotransferase,b3416,P15977,4-&alpha;-glucanotransferase,malQ,0.466758873,1.031661828,0.298066663,0.984893092,Carbohydrate transport and metabolism,nan,nan,nan,nan,
metQ,metQ,metQ,metD // yaeC,ECK0197,220113,220928,-,L-methionine/D-methionine ABC transporter membrane anchored binding protein,b0197,P28635,L-methionine/D-methionine ABC transporter membrane anchored binding protein,metQ,nan,nan,nan,0,Inorganic ion transport and metabolism,nan,nan,nan,nan,
mog,mog,mog,yaaG // bisD // chlG // mogA,ECK0009,9306,9893,+,molybdopterin adenylyltransferase,b0009,P0AF03,molybdopterin adenylyltransferase,mog,0.461337496,1.019679138,0.308008943,1.017745081,Coenzyme transport and metabolism,nan,nan,nan,nan,
mreD,mreD,mreD,noSyn,ECK3237,3398387,3398875,-,cell shape determining protein MreD,b3249,P0ABH4,cell shape determining protein MreD,mreD,nan,nan,nan,0,Cell wall/membrane/envelope biogenesis,nan,nan,nan,nan,
mutL,mutL,mutL,noSyn,ECK4166,4397412,4399259,+,DNA mismatch repair protein MutL,b4170,P23367,DNA mismatch repair protein MutL,mutL,nan,nan,nan,0,"Replication, recombination and repair",nan,nan,nan,nan,
mutS,mutS,mutS,ant // plm // fdv,ECK2728,2857093,2859654,+,DNA mismatch repair protein MutS,b2733,P23909,DNA mismatch repair protein MutS,mutS,nan,nan,nan,0,"Replication, recombination and repair",nan,nan,nan,nan,
mutT,mutT,mutT,nudA,ECK0100,111044,111433,+,8-oxo-dGTP diphosphatase,b0099,P08337,8-oxo-dGTP diphosphatase,mutT,nan,nan,nan,0,Nucleotide transport and metabolism,nan,nan,nan,nan,
nlpE,nlpE,nlpE,cutF,ECK0192,215269,215979,+,sensor lipoprotein NlpE,b0192,P40710,sensor lipoprotein NlpE,nlpE,0.4314099,0.953531153,0.303597699,1.003169136,Defense mechanisms,nan,nan,nan,nan,
nuoE,nuoE,nuoE,noSyn,ECK2279,2401552,2402052,-,NADH:quinone oxidoreductase subunit E,b2285,P0AFD1,NADH:quinone oxidoreductase subunit E,nuoE,0.439044634,0.970405954,0.191227838,0.631868641,Energy production and conversion,nan,nan,nan,nan,
nuoI,nuoI,nuoI,noSyn,ECK2275,2395908,2396450,-,NADH:quinone oxidoreductase subunit I,b2281,P0AFD6,NADH:quinone oxidoreductase subunit I,nuoI,nan,nan,nan,0,Energy production and conversion,nan,nan,nan,nan,
pbl,pbl,pbl,ygeJ,ECK2852,2993939,2994441,+,transglycosylase domain-containing protein Pbl,b2854,Q46790,transglycosylase domain-containing protein Pbl,pbl,0.50994258,1.127109359,0.306253672,1.01194519,nan,nan,nan,nan,nan,
pdxB,pdxB,pdxB,usg-2,ECK2314,2436715,2437851,-,erythronate-4-phosphate dehydrogenase,b2320,P05459,erythronate-4-phosphate dehydrogenase,pdxB,0.42137229,0.931345353,nan,0,Coenzyme transport and metabolism,nan,nan,nan,nan,
pepD,pepD,pepD,pepH,ECK0238,254259,255716,-,peptidase D,b0237,P15288,peptidase D,pepD,0.439657639,0.971760859,0.313467112,1.035780354,Amino acid transport and metabolism,nan,nan,nan,nan,
perR,perR,perR,noSyn,ECK0256,269289,270182,-,CP4-6 prophage; putative transcriptional regulator PerR,b0254,Q57083,CP4-6 prophage; putative transcriptional regulator PerR,perR,nan,nan,nan,0,Transcription,nan,nan,nan,nan,
pfs,mtn,pfs,pfs // yadA // mtnN,ECK0158,178455,179153,-,5'-methylthioadenosine/S-adenosylhomocysteine nucleosidase,b0159,P0AF12,5'-methylthioadenosine/S-adenosylhomocysteine nucleosidase,mtn,0.24362145,0.5384685,nan,0,Nucleotide transport and metabolism,nan,nan,nan,nan,
phoQ,phoQ,phoQ,noSyn,ECK1115,1188316,1189776,-,sensor histidine kinase PhoQ,b1129,P23837,sensor histidine kinase PhoQ,phoQ,nan,nan,nan,0,Signal transduction mechanisms,nan,nan,nan,nan,
pphB,pphB,pphB,ygbH // prpB,ECK2729,2859760,2860416,+,phosphoprotein phosphatase 2,b2734,P55799,phosphoprotein phosphatase 2,pphB,0.47407576,1.047834103,0.302730461,1.000303546,nan,nan,nan,nan,nan,
prfH,prfH,prfH,noSyn,ECK0237,253702,254202,+,putative peptide chain release factor,b0236,P28369,putative peptide chain release factor,prfH,0.472347293,1.044013729,0.308946661,1.020843556,nan,nan,nan,nan,nan,
priB,priB,priB,noSyn,ECK4197,4425520,4425834,+,primosomal replication protein N,b4201,P07013,primosomal replication protein N,priB,nan,nan,nan,0,"Replication, recombination and repair",nan,nan,nan,nan,
prmC,prmC,prmC,hemK,ECK1200,1266094,1266927,+,protein-(glutamine-N5) methyltransferase,b1212,P0ACC1,protein-(glutamine-N5) methyltransferase,prmC,nan,nan,nan,0,"Translation, ribosomal structure and biogenesis",nan,nan,nan,nan,
psiF,psiF,psiF,noSyn,ECK0379,403281,403601,+,PsiF family protein,b0384,P0AFM4,PsiF family protein,psiF,0.483954044,1.069667751,0.321192075,1.061305727,nan,nan,nan,nan,nan,
ptrB,ptrB,ptrB,tlp,ECK1846,1926779,1928839,-,oligopeptidase B,b1845,P24555,oligopeptidase B,ptrB,nan,nan,nan,0,Amino acid transport and metabolism,nan,nan,nan,nan,
purA,purA,purA,adeK,ECK4173,4404687,4405985,+,adenylosuccinate synthetase,b4177,P0A7D4,adenylosuccinate synthetase,purA,0.447872647,0.989918223,0.054569582,0.180312698,nan,nan,nan,nan,nan,
purB,purB,purB,ade(h) // ade,ECK1117,1190616,1191986,-,adenylosuccinate lyase,b1131,P0AB89,adenylosuccinate lyase,purB,0.042977668,0.09499213,nan,0,Nucleotide transport and metabolism,nan,nan,nan,nan,
purF,purF,purF,ade // purC,ECK2306,2428721,2430238,-,amidophosphoribosyltransferase,nan,P0AG16,amidophosphoribosyltransferase,purF,0.445910803,0.985582024,nan,0,nan,nan,nan,nan,nan,
purM,purM,purM,purG // purI,ECK2495,2621197,2622234,+,phosphoribosylformylglycinamide cyclo-ligase,b2499,P08178,phosphoribosylformylglycinamide cyclo-ligase,purM,0.432453196,0.955837116,0.107217102,0.354274383,Nucleotide transport and metabolism,nan,nan,nan,nan,
pyrB,pyrB,pyrB,noSyn,ECK4240,4471460,4472395,-,aspartate carbamoyltransferase catalytic subunit,b4245,P0A786,aspartate carbamoyltransferase catalytic subunit,pyrB,0.46846544,1.035433799,nan,0,Nucleotide transport and metabolism,nan,nan,nan,nan,
pyrD,pyrD,pyrD,noSyn,ECK0936,1004768,1005778,+,"dihydroorotate dehydrogenase, type 2",b0945,P0A7E1,"dihydroorotate dehydrogenase, type 2",pyrD,0.438686382,0.969614123,nan,0,Nucleotide transport and metabolism,nan,nan,nan,nan,
racC,racC,racC,sbcA,ECK1348,1417488,1417763,-,Rac prophage; protein RacC,b1351,P15033,Rac prophage; protein RacC,racC,0.226438826,0.50049031,0.253979842,0.839218278,nan,nan,nan,nan,nan,
rbn,rbn,elaC,zipD // ecoZ // rnz // elaC,ECK2262,2381608,2382525,+,ribonuclease BN,b2268,P0A8V0,ribonuclease BN,rbn,0.444464165,0.982384567,0.302484981,0.999492413,"Translation, ribosomal structure and biogenesis",nan,nan,nan,nan,
rcsF,rcsF,rcsF,noSyn,ECK0196,219591,219995,-,sensor lipoprotein RcsF,b0196,P69411,sensor lipoprotein RcsF,rcsF,0.442027154,0.976998122,0.284496141,0.940052408,nan,nan,nan,nan,nan,
rfaC,waaC,rfaC,rfa-2 // rfaC // yibC,ECK3611,3795979,3796938,+,ADP-heptose:LPS heptosyltransferase 1,b3621,P24173,ADP-heptose:LPS heptosyltransferase 1,waaC,0.340254956,0.75205437,nan,0,Cell wall/membrane/envelope biogenesis,nan,nan,nan,nan,
rfaE,hldE,rfaE,yqiF // rfaE // gmhC // waaE,ECK3042,3195320,3196753,-,fused heptose 7-phosphate kinase/heptose 1-phosphate adenyltransferase,b3052,P76658,fused heptose 7-phosphate kinase/heptose 1-phosphate adenyltransferase,hldE,0.333293843,0.736668449,0.275637203,0.910780075,Cell wall/membrane/envelope biogenesis,nan,nan,nan,nan,
rhaA,rhaA,rhaA,noSyn,ECK3896,4094723,4095982,-,L-rhamnose isomerase,b3903,P32170,L-rhamnose isomerase,rhaA,0.446013567,0.985809158,0.304671134,1.006716057,Carbohydrate transport and metabolism,nan,nan,nan,nan,
rhaB,rhaB,rhaB,noSyn,ECK3897,4095979,4097448,-,rhamnulokinase,b3904,P32171,rhamnulokinase,rhaB,0.465619312,1.029143093,0.310054095,1.024502818,Carbohydrate transport and metabolism,nan,nan,nan,nan,
rihA,rihA,rihA,ybeK,ECK0644,683477,684412,-,pyrimidine-specific ribonucleoside hydrolase RihA,b0651,P41409,pyrimidine-specific ribonucleoside hydrolase RihA,rihA,0.508118468,1.123077585,0.314392788,1.038839039,Nucleotide transport and metabolism,nan,nan,nan,nan,
rimM,rimM,rimM,yfjA,ECK2605,2745370,2745918,-,ribosome maturation factor RimM,b2608,P0A7X6,ribosome maturation factor RimM,rimM,nan,nan,nan,0,"Translation, ribosomal structure and biogenesis",nan,nan,nan,nan,
